"region","parameter","value_coefficient_10","value_p_value","error_prediction_coefficient_10","error_prediction_p_value","value_difference_coefficient_10","value_difference_p_value","CountryCode","subregion"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"ca","british columbia"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","alaska"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","arizona"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","california"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","colorado"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","connecticut"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","florida"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","georgia"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","hawaii"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","idaho"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","illinois"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","indiana"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","iowa"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","kentucky"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","maryland"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","massachusetts"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","michigan"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","minnesota"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","mississippi"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","missouri"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","nebraska"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","nevada"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","new hampshire"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","new jersey"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","new mexico"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","north carolina"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","oklahoma"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","oregon"
"NORTHERN AMERICA","no2",0.358788171245498,0.242804951377132,NA,NA,-0.391019857308947,0.398618248201232,"us","pennsylvania"
