"state","sub_region_gadm"
"hr","bjelovarska-bilogorska; brodsko-posavska; dubrovacko-neretvanska; grad zagreb; istarska; karlovacka; koprivnicko-križevacka; krapinsko-zagorska; licko-senjska; medimurska; osjecko-baranjska; požeško-slavonska; primorsko-goranska; šibensko-kninska; sisacko-moslavacka; splitsko-dalmatinska; varaždinska; viroviticko-podravska; vukovarsko-srijemska; zadarska; zagrebacka"
"ht","centre; grand'anse; l'artibonite; nippes; nord; nord-est; nord-ouest; ouest; sud; sud-est"
"hu","bács-kiskun; baranya; békés; borsod-abaúj-zemplén; budapest; csongrád; fejér; gyor-moson-sopron; hajdú-bihar; heves; jász-nagykun-szolnok; komárom-esztergom; nógrád; pest; somogy; szabolcs-szatmár-bereg; tolna; vas; veszprém; zala"
"id","aceh; bali; bangka belitung; banten; bengkulu; gorontalo; jakarta raya; jambi; jawa barat; jawa tengah; jawa timur; kalimantan barat; kalimantan selatan; kalimantan tengah; kalimantan timur; kepulauan riau; lampung; maluku; maluku utara; nusa tenggara barat; nusa tenggara timur; papua; papua barat; riau; sulawesi barat; sulawesi selatan; sulawesi tengah; sulawesi tenggara; sulawesi utara; sumatera barat; sumatera selatan; sumatera utara; yogyakarta"
"im","ayre; garff; glenfaba; michael; middle; rushen"
"in","andaman and nicobar; andhra pradesh; arunachal pradesh; assam; bihar; chandigarh; chhattisgarh; dadra and nagar haveli; daman and diu; goa; gujarat; haryana; himachal pradesh; jammu and kashmir; jharkhand; karnataka; kerala; lakshadweep; madhya pradesh; maharashtra; manipur; meghalaya; mizoram; nagaland; nct of delhi; odisha; puducherry; punjab; rajasthan; sikkim; tamil nadu; telangana; tripura; uttar pradesh; uttarakhand; west bengal"
"ie","carlow; cavan; clare; cork; donegal; dublin; galway; kerry; kildare; kilkenny; laoighis; leitrim; limerick; longford; louth; mayo; meath; monaghan; offaly; roscommon; sligo; tipperary; waterford; westmeath; wexford; wicklow"
"ir","alborz; ardebil; bushehr; chahar mahall and bakhtiari; east azarbaijan; esfahan; fars; gilan; golestan; hamadan; hormozgan; ilam; kerman; kermanshah; khuzestan; kohgiluyeh and buyer ahmad; kordestan; lorestan; markazi; mazandaran; north khorasan; qazvin; qom; razavi khorasan; semnan; sistan and baluchestan; south khorasan; tehran; west azarbaijan; yazd; zanjan"
"iq","al-anbar; al-basrah; al-muthannia; al-qadisiyah; an-najaf; arbil; as-sulaymaniyah; at-ta'mim; babil; baghdad; dhi-qar; dihok; diyala; karbala'; maysan; ninawa; sala ad-din; wasit"
"is","austurland; hálshreppur; höfuðborgarsvæði; norðurland vestra; suðurland; suðurnes; vestfirðir; vesturland; golan"
"il","hadarom; haifa; hamerkaz; hazafon; jerusalem; tel aviv"
"it","abruzzo; apulia; basilicata; calabria; campania; emilia-romagna; friuli-venezia giulia; lazio; liguria; lombardia; marche; molise; piemonte; sardegna; sicily; toscana; trentino-alto adige; umbria; valle d'aosta; veneto"
"jm","clarendon; hanover; kingston; manchester; portland; saint andrew; saint ann; saint catherine; saint elizabeth; saint james; saint mary; saint thomas; trelawny; westmoreland"
"je","grouville; saint berlade; saint helier; saint john; saint lawrence; saint martin; saint mary; saint ouen; saint peter; saint saviour; trinity"
"jo","ajlun; amman; aqaba; balqa; irbid; jarash; karak; ma`an; madaba; mafraq; tafilah; zarqa"
"jp","aichi; akita; aomori; chiba; ehime; fukui; fukuoka; fukushima; gifu; gunma; hiroshima; hokkaido; hyogo; ibaraki; ishikawa; iwate; kagawa; kagoshima; kanagawa; kochi; kumamoto; kyoto; mie; miyagi; miyazaki; nagano; naoasaki; nara; niigata; oita; okayama; okinawa; osaka; saga; saitama; shiga; shimane; shizuoka; tochigi; tokushima; tokyo; tottori; toyama; wakayama; yamagata; yamaguchi; yamanashi"
"kz","almaty; aqmola; aqtöbe; atyrau; east kazakhstan; mangghystau; north kazakhstan; pavlodar; qaraghandy; qostanay; qyzylorda; south kazakhstan; west kazakhstan; zhambyl"
"ke","baringo; bomet; bungoma; busia; elgeyo-marakwet; embu; garissa; homa bay; isiolo; kajiado; kakamega; kericho; kiambu; kilifi; kirinyaga; kisii; kisumu; kitui; kwale; laikipia; lamu; machakos; makueni; mandera; marsabit; meru; migori; mombasa; murang'a; nairobi; nakuru; nandi; narok; nyamira; nyandarua; nyeri; samburu; siaya; taita taveta; tana river; tharaka-nithi; trans nzoia; turkana; uasin gishu; vihiga; wajir; west pokot"
"kg","batken; biškek; chüy; jalal-abad; naryn; osh; osh (city); talas; ysyk-köl"
"kh","bântéay méanchey; batdâmbâng; kâmpóng cham; kâmpóng chhnang; kâmpóng spœ; kâmpóng thum; kâmpôt; kândal; kaôh kong; kep; krâchéh; krong pailin; krong preah sihanouk; môndól kiri; otdar mean chey; phnom penh; pouthisat; preah vihéar; prey vêng; rôtânôkiri; siemréab; stœng trêng; svay rieng; takêv; tbong khmum"
"kn","christ church nichola town; saint anne sandy point; saint george basseterre; saint george gingerland; saint james windward; saint john capisterre; saint john figtree; saint mary cayon; saint paul capisterre; saint paul charlestown; saint peter basseterre; saint thomas lowland; saint thomas middle island; trinity palmetto point"
"kr","busan; chungcheongbuk-do; chungcheongnam-do; daegu; daejeon; gangwon-do; gwangju; gyeonggi-do; gyeongsangbuk-do; gyeongsangnam-do; incheon; jeju; jeollabuk-do; jeollanam-do; sejong; seoul; ulsan"
"kw","al ahmadi; al farwaniyah; al jahrah; al kuwayt; hawalli; mubarak al-kabeer"
"la","attapu; bokeo; bolikhamxai; champasak; houaphan; khammouan; louang namtha; louangphrabang; oudômxai; phôngsali; saravan; savannakhét; vientiane; vientiane [prefecture]; xaignabouri; xaisômboun; xékong; xiangkhoang; lago nicaragua"
"lb","akkar; baalbak - hermel; beirut; bekaa; mount lebanon; nabatiyeh; north; south"
"lr","bomi; bong; gbapolu; grand cape mount; grandbassa; grandgedeh; grandkru; lofa; margibi; maryland; montserrado; nimba; river cess; river gee; sinoe"
"ly","al butnan; al jabal al akhdar; al jabal al gharbi; al jifarah; al jufrah; al kufrah; al marj; al marqab; al wahat; an nuqat al khams; az zawiyah; benghazi; darnah; ghat; misratah; murzuq; nalut; sabha; surt; tripoli; wadi al hayat; wadi ash shati'"
"lc","anse-la-raye; canaries; castries; choiseul; dennery; gros islet; laborie; micoud; soufrière; vieux fort"
"li","balzers; eschen; gamprin; mauren; planken; ruggell; schaan; schellenberg; triesen; triesenberg; valduz"
"lk","ampara; anuradhapura; badulla; batticaloa; colombo; galle; gampaha; hambantota; jaffna; kalutara; kandy; kegalle; kilinochchi; kurunegala; mannar; matale; matara; moneragala; mullaitivu; nuwara eliya; polonnaruwa; puttalam; ratnapura; trincomalee; vavuniya"
"ls","berea; butha-buthe; leribe; mafeteng; maseru; mohale's hoek; mokhotlong; qacha's nek; quthing; thaba-tseka"
"lt","alytaus; kauno; klaipedos; marijampoles; panevezio; šiauliai; taurages; telšiai; utenos; vilniaus"
"lu","diekirch; grevenmacher; luxembourg"
"lv","kurzeme; latgale; riga; vidzeme; zemgale"
"mo","ilhas; macau"
"ma","chaouia - ouardigha; doukkala - abda; fès - boulemane; gharb - chrarda - béni hssen; grand casablanca; guelmim - es-semara; laâyoune - boujdour - sakia el hamra; marrakech - tensift - al haouz; meknès - tafilalet; oriental; rabat - salé - zemmour - zaer; souss - massa - draâ; tadla - azilal; tanger - tétouan; taza - al hoceima - taounate"
"md","anenii noi; balti; basarabeasca; bender; briceni; cahul; calarasi; cantemir; causeni; chisinau; cimislia; criuleni; donduseni; drochia; dubasari; edinet; falesti; floresti; gagauzia; glodeni; hîncesti; ialoveni; leova; nisporeni; ocnita; orhei; rezina; rîscani; sîngerei; soldanesti; soroca; stefan voda; straseni; taraclia; telenesti; transnistria; ungheni"
"mg","antananarivo; antsiranana; fianarantsoa; mahajanga; toamasina; toliary"
"mx","aguascalientes; baja california; baja california sur; campeche; chiapas; chihuahua; coahuila; colima; distrito federal; durango; guanajuato; guerrero; hidalgo; jalisco; méxico; michoacán; morelos; nayarit; nuevo león; oaxaca; puebla; querétaro; quintana roo; san luis potosí; sinaloa; sonora; tabasco; tamaulipas; tlaxcala; veracruz; yucatán; zacatecas"
"mk","aerodrom; aracinovo; berovo; bitola; bogdanci; bogovinje; bosilovo; brvenica; butel; cair; caška; centar; centar župa; cešinovo-obleševo; cucer sandevo; debar; debarca; delcevo; demir hisar; demir kapija; dolneni; drugovo; gazi baba; gevgelija; gjorce petrov; gostivar; gradsko; ilinden; jegunovtse; karbinci; karpoš; kavadartsi; kicevo; kisela voda; kocani; konce; kratovo; kriva palanka; krivogaštani; kruševo; kumanovo; lake ohrid; lipkovo; lozovo; makedonska kamenica; makedonski brod; mavrovo and rostuša; mogila; negotino; novatsi; novo selo; ohrid; oslomej; pehcevo; petrovec; plasnica; prilep; probištip; radoviš; rankovce; resen; rosoman; saraj; sopište; star dojran; staro nagoricane; štip; struga; strumitsa; studenicani; šuto orizari; sveti nikole; tearce; tetovo; valandovo; vasilevo; veles; vevcani; vinitsa; vraneštica; vrapcište; zajas; zelenikovo; želino; zrnovci"
"ml","bamako; gao; kayes; kidal; koulikoro; mopti; ségou; sikasso; timbuktu"
"mt","centrali; ghawdex; nofsinhar; tramuntana; xlokk"
"mm","ayeyarwady; bago; chin; kachin; kayah; kayin; magway; mandalay; mon; naypyitaw; rakhine; sagaing; shan; tanintharyi; yangon"
"me","andrijevica; bar; berane; bijelo polje; budva; cetinje; danilovgrad; herceg novi; kolašin; kotor; mojkovac; nikšic; plav; pljevlja; plužine; podgorica; rožaje; šavnik; tivat; ulcinj; žabljak"
"mn","arhangay; bayan-ölgiy; bayanhongor; bulgan; darhan-uul; dornod; dornogovi; dundgovi; dzavhan; govi-altay; govisümber; hentiy; hovd; hövsgöl; ömnögovi; orhon; övörhangay; selenge; sühbaatar; töv; ulaanbaatar; uvs"
"mp","northern islands; rota; saipan; tinian"
"mz","cabo delgado; gaza; inhambane; manica; maputo; maputo city; nampula; nassa; sofala; tete; zambezia"
"mr","adrar; assaba; brakna; dakhlet nouadhibou; gorgol; guidimaka; hodh ech chargui; hodh el gharbi; inchiri; nouakchott; tagant; tiris zemmour; trarza"
"ms","saint anthon; saint georges; saint peter"
"mq","fort-de-france; le marin; le trinité; saint-pierre"
"mu","agalega islands; black river; flacq; grand port; moka; pamplemousses; plaines wilhems; port louis; rivière du rempart; rodriguez; saint brandon ; savanne"
"mw","balaka; blantyre; chikwawa; chiradzulu; chitipa; dedza; dowa; karonga; kasungu; likoma; lilongwe; machinga; mangochi; mchinji; mulanje; mwanza; mzimba; neno; nkhata bay; nkhotakota; nsanje; ntcheu; ntchisi; phalombe; rumphi; salima; thyolo; zomba"
"my","johor; kedah; kelantan; kuala lumpur; labuan; melaka; negeri sembilan; pahang; perak; perlis; pulau pinang; putrajaya; sabah; sarawak; selangor; trengganu"
"yt","acoua; bandraboua; bandrele; boueni; chiconi; chirongui; dembeni; dzaoudzi; kani-keli; koungou; m'tsangamouji; mamoudzou; mtsamboro; ouangani; pamandzi; sada; tsingoni"
"na","!karas; erongo; hardap; kavango; khomas; kunene; ohangwena; omaheke; omusati; oshana; oshikoto; otjozondjupa; zambezi"
"nc","îles loyauté; nord; sud"
"ne","agadez; diffa; dosso; maradi; niamey; tahoua; tillabéry; zinder"
"ng","abia; adamawa; akwa ibom; anambra; bauchi; bayelsa; benue; borno; cross river; delta; ebonyi; edo; ekiti; enugu; federal capital territory; gombe; imo; jigawa; kaduna; kano; katsina; kebbi; kogi; kwara; lagos; nassarawa; niger; ogun; ondo; osun; oyo; plateau; rivers; sokoto; taraba; yobe; zamfara"
"ni","atlántico norte; atlántico sur; boaco; carazo; chinandega; chontales; estelí; granada; jinotega; león; madriz; managua; masaya; matagalpa; nueva segovia; río san juan; rivas"
"nl","drenthe; flevoland; friesland; gelderland; groningen; ijsselmeer; limburg; noord-brabant; noord-holland; overijssel; utrecht; zeeland; zeeuwse meren; zuid-holland"
"no","akershus; ãstfold; aust-agder; buskerud; finnmark; hedmark; hordaland; møre og romsdal; nord-trøndelag; nordland; oppland; oslo; rogaland; sogn og fjordane; sør-trøndelag; telemark; troms; vest-agder; vestfold"
"np","central; east; far-western; mid-western; west"
"nr","aiwo; anabar; anetan; anibare; baiti; boe; buada; denigomodu; ewa; ijuw; meneng; nibok; uaboe; yaren"
"nz","auckland; bay of plenty; canterbury; chatham islands; gisborne; hawke's bay; manawatu-wanganui; marlborough; nelson; northern islands; northland; otago; southern islands; southland; taranaki; tasman; waikato; wellington; west coast"
"om","ad dakhliyah; al batinah north; al batinah south; al buraymi; al dhahira; al wusta; ash sharqiyah north; ash sharqiyah south; dhofar; musandam; muscat"
"pk","azad kashmir; baluchistan; f.a.t.a.; f.c.t.; n.w.f.p.; northern areas; punjab; sind"
"pa","bocas del toro; chiriquí; coclé; colón; darién; emberá; herrera; kuna yala; los santos; ngöbe buglé; panamá; panamá oeste; veraguas"
"pe","amazonas; ancash; apurímac; arequipa; ayacucho; cajamarca; callao; cusco; huancavelica; huánuco; ica; junín; la libertad; lambayeque; lima; lima province; loreto; madre de dios; moquegua; pasco; piura; puno; san martín; tacna; tumbes; ucayali"
"ph","abra; agusan del norte; agusan del sur; aklan; albay; antique; apayao; aurora; basilan; bataan; batanes; batangas; benguet; biliran; bohol; bukidnon; bulacan; cagayan; camarines norte; camarines sur; camiguin; capiz; catanduanes; cavite; cebu; compostela valley; davao del norte; davao del sur; davao oriental; dinagat islands; eastern samar; guimaras; ifugao; ilocos norte; ilocos sur; iloilo; isabela; kalinga; la union; laguna; lanao del norte; lanao del sur; leyte; maguindanao; marinduque; masbate; metropolitan manila; misamis occidental; misamis oriental; mountain province; negros occidental; negros oriental; north cotabato; northern samar; nueva ecija; nueva vizcaya; occidental mindoro; oriental mindoro; palawan; pampanga; pangasinan; quezon; quirino; rizal; romblon; samar; sarangani; siquijor; sorsogon; south cotabato; southern leyte; sultan kudarat; sulu; surigao del norte; surigao del sur; tarlac; tawi-tawi; zambales; zamboanga del norte; zamboanga del sur; zamboanga sibugay"
"pw","aimeliik; airai; angaur; hatohobei; kayangel; koror; melekeok; ngaraard; ngarchelong; ngardmau; ngatpang; ngchesar; ngeremlengui; ngiwal; peleliu; sonsorol"
"pg","bougainville; central; chimbu; east new britain; east sepik; eastern highlands; enga; gulf; hela; jiwaka; madang; manus; milne bay; morobe; national capital district; new ireland; oro; sandaun; southern highlands; west new britain; western; western highlands"
